datetime;feelslike;precip;snow;snowdepth;cloudcover;uvindex;general
2024-12-30;3.5;1.907;0;0;87.3;1;rain
2024-12-31;5.6;6;0;0;56.3;3;rain
2025-01-01;5.5;0;0;0;2.2;4;clear-day
2025-01-02;8.2;0;0;0;9;4;clear-day
2025-01-03;11.3;0;0;0;39.3;4;partly-cloudy-day
2025-01-04;8.1;7.164;0;0;89.1;2;rain
2025-01-05;5;239;0;0;81.2;3;rain
2025-01-06;6.9;0;0;0;23.5;4;partly-cloudy-day
2025-01-07;11.6;0;0;0;34.4;4;partly-cloudy-day
2025-01-08;14;0;0;0;65.6;4;partly-cloudy-day
2025-01-09;13.3;0;0;0;18.1;4;clear-day
2025-01-10;13.3;0;0;0;31.3;4;partly-cloudy-day
2025-01-11;7.7;5.332;0;0;78.8;1;rain
2025-01-12;4.5;5.029;0;0;90;1;rain
2025-01-13;1.8;14.161;0;0;90;1;rain
2025-01-14;2;3.523;0;0;89.9;1;rain
2025-01-15;2.8;3.383;0;0;90;1;rain
2025-01-16;2.1;5.547;0;0;84.8;0;rain
2025-01-17;3.2;0;0;0;31;5;partly-cloudy-day
2025-01-18;4.6;0;0;0;14.8;5;clear-day
2025-01-19;6.1;0;0;0;14.4;5;clear-day
2025-01-20;3.6;3;0;0;42;3;rain
2025-01-21;5.8;0;0;0;62.1;4;partly-cloudy-day
2025-01-22;10.6;0.11;0;0;85.6;2;rain
2025-01-23;8.4;0;0;0;62.6;3;partly-cloudy-day
2025-01-24;10.7;0;0;0;61.5;5;partly-cloudy-day
2025-01-25;7.5;15.922;0;0;81.7;1;rain
2025-01-26;6.1;26;0;0;41.1;5;rain
2025-01-27;7.6;3;0;0;31.1;5;rain
2025-01-28;9.6;0;0;0;10.3;5;clear-day
2025-01-29;12;0;0;0;6.1;5;clear-day
2025-01-30;12.7;0;0;0;61.2;3;partly-cloudy-day
2025-01-31;11.6;0;0;0;60.8;4;partly-cloudy-day
2025-02-01;9.9;0;0;0;35.5;4;partly-cloudy-day
2025-02-02;8.1;3;0;0;74.3;6;rain
2025-02-03;6.1;0;0;0;60.1;2;partly-cloudy-day
2025-02-04;2;849;0;0;88.9;2;rain
2025-02-05;0.2;1.14;0.3;0;89.3;4;snow
2025-02-06;-1.7;7.459;0.5;0;84.3;2;snow
2025-02-07;-1;9.35;0.4;0.1;89.1;1;snow
2025-02-08;0.2;11.251;0;0;89.8;1;rain
2025-02-09;0;8.333;0;0;89.7;1;rain
2025-02-10;-0.3;2.356;0;0;89.5;2;rain
2025-02-11;-0.2;1.728;0.1;0;88;5;snow
2025-02-12;-1.2;12.149;1.5;0.3;77.2;1;snow
2025-02-13;3.5;451;0;0;64.8;3;rain
2025-02-14;6.8;3;0;0;62;5;rain
2025-02-15;8.8;4.671;0;0;88.3;4;rain
2025-02-16;5.3;4.508;0;0;89.9;1;rain
2025-02-17;2.5;13.023;0;0;90;1;rain
2025-02-18;1.5;1.197;0;0;89.8;2;rain
2025-02-19;-0.2;13.589;0.1;0;86.8;2;snow
2025-02-20;-3.6;6.232;0.4;0;85.3;3;snow
2025-02-21;-4.2;5.398;1.4;4.6;88.8;7;snow
2025-02-22;-4.4;4.095;1.4;6.1;82.7;8;snow
2025-02-23;-3;0.38;1;6.3;72.4;8;snow
2025-02-24;-1.3;3;0;1.2;15.6;7;rain
2025-02-25;2.2;0;0;0;46.6;6;partly-cloudy-day
2025-02-26;5.8;0;0;0;37;5;partly-cloudy-day
2025-02-27;9.7;0;0;0;85.1;5;partly-cloudy-day
2025-02-28;9.4;0.1;0;0;82.3;5;rain
2025-03-01;5.7;4;0;0;42.2;6;rain
2025-03-02;6;254;0;0;56;5;rain
2025-03-03;3.1;2.953;0;0;88.6;4;rain
2025-03-04;2.2;3;0;0;72.4;4;rain
2025-03-05;3.7;0;0;0;15;7;clear-day
2025-03-06;6.1;0;0;0;22.2;7;partly-cloudy-day
2025-03-07;6.8;0;0;0;18.2;7;clear-day
2025-03-08;5;0;0;0;47.5;7;partly-cloudy-day
2025-03-09;7.4;0;0;0;51.3;7;partly-cloudy-day
2025-03-10;10.7;0;0;0;2.4;7;clear-day
2025-03-11;14;0;0;0;32.2;7;partly-cloudy-day
2025-03-12;18;0;0;0;64.6;6;partly-cloudy-day
2025-03-13;19.3;0;0;0;63.1;6;partly-cloudy-day
2025-03-14;19.3;0;0;0;29.5;7;partly-cloudy-day
2025-03-15;20;0;0;0;49.7;7;partly-cloudy-day
2025-03-16;22.1;0;0;0;55.5;6;partly-cloudy-day
2025-03-17;15.6;1.711;0;0;73.9;6;rain
2025-03-18;3.2;11.386;0;0;89.9;1;rain
2025-03-19;0.7;591;0;0;87.9;6;rain
2025-03-20;4.5;0.65;0;0;88.9;3;rain
2025-03-21;5.8;773;0;0;65.7;6;rain
2025-03-22;6.8;0;0;0;7.9;8;clear-day
2025-03-23;11;0;0;0;49.8;8;partly-cloudy-day
2025-03-24;15.7;181;0;0;84.5;6;rain
2025-03-25;17.5;0;0;0;72.4;5;partly-cloudy-day
2025-03-26;16.9;0;0;0;72.1;6;partly-cloudy-day
2025-03-27;17.7;0;0;0;68.6;5;partly-cloudy-day
2025-03-28;14.6;1.951;0;0;90.1;5;rain
2025-03-29;14.4;3.212;0;0;78.4;8;rain
2025-03-30;14.2;38;0;0;67.6;7;rain
2025-03-31;13;2.091;0;0;84.3;10;rain
2025-04-01;12.9;3.415;0;0;79.1;1;rain
2025-04-02;10.5;33;0;0;88.6;2;rain
2025-04-03;11.5;568;0;0;80.3;5;rain
2025-04-04;10.9;0;0;0;40.6;8;partly-cloudy-day
2025-04-05;9.7;0;0;0;46.3;8;partly-cloudy-day
2025-04-06;11.3;278;0;0;54.1;8;rain
2025-04-07;3.1;7.764;0.1;0;90;3;snow
2025-04-08;3.1;407;0;0;88.1;6;rain
2025-04-09;4.6;189;0;0;76.4;6;rain
2025-04-10;8.3;0;0;0;51.7;8;partly-cloudy-day
2025-04-11;2.6;3.09;0;0;70.5;8;rain
2025-04-12;4.7;1.305;0;0;76.8;4;rain
2025-04-13;7;37;0;0;24.4;6;rain
2025-04-14;8.4;0;0;0;43;9;partly-cloudy-day
2025-04-15;10.4;0;0;0;21;9;partly-cloudy-day
2025-04-16;13.9;0;0;0;16.6;9;clear-day
2025-04-17;14.2;0;0;0;16.6;9;clear-day
2025-04-18;11.1;0;0;0;64.5;8;partly-cloudy-day
2025-04-19;10.4;0;0;0;67.5;2;partly-cloudy-day
2025-04-20;13.4;0;0;0;46.6;6;partly-cloudy-day
2025-04-21;15.7;0;0;0;5.8;9;clear-day
2025-04-22;14.2;0;0;0;40.2;9;partly-cloudy-day
2025-04-23;12.2;0;0;0;60.1;8;partly-cloudy-day
2025-04-24;10.9;0;0;0;87.8;6;partly-cloudy-day
2025-04-25;12.1;0;0;0;64.3;5;partly-cloudy-day
2025-04-26;15.9;0;0;0;24;8;partly-cloudy-day
2025-04-27;13;0;0;0;63.5;5;partly-cloudy-day
2025-04-28;10.1;0;0;0;35.2;9;partly-cloudy-day
2025-04-29;9;0;0;0;61.4;9;partly-cloudy-day
2025-04-30;10.2;0;0;0;76.5;8;partly-cloudy-day
2025-05-01;10.2;2.844;0;0;88.9;1;rain
2025-05-02;12.2;1.005;0;0;86;4;rain
2025-05-03;14.1;0;0;0;37.9;9;partly-cloudy-day
2025-05-04;15.6;0;0;0;0.1;9;clear-day
2025-05-05;19.9;0;0;0;25.4;9;partly-cloudy-day
2025-05-06;22.1;0;0;0;46.7;9;partly-cloudy-day
2025-05-07;22.7;0;0;0;39.7;8;partly-cloudy-day
2025-05-08;21;0;0;0;27.3;9;partly-cloudy-day
2025-05-09;20;0;0;0;42.7;9;partly-cloudy-day
2025-05-10;13.9;4.307;0;0;87;1;rain
2025-05-11;13.9;1.622;0;0;55.2;9;rain
2025-05-12;14.4;0;0;0;48.2;9;partly-cloudy-day
2025-05-13;13.7;0;0;0;58.4;6;partly-cloudy-day
2025-05-14;13.4;0;0;0;37.7;9;partly-cloudy-day
2025-05-15;14.7;0;0;0;2.4;9;clear-day
2025-05-16;18.7;85;0;0;69.1;6;rain
2025-05-17;16.9;37.365;0;0;77.2;2;rain
2025-05-18;15.3;6.958;0;0;56.6;3;rain
2025-05-19;17.6;18;0;0;1.5;9;rain
2025-05-20;17.8;0;0;0;38.6;8;partly-cloudy-day
2025-05-21;20.4;0;0;0;12.5;9;clear-day
