Date;2025 Grammy Awards (Countdown);2025 Oscar Awards (Countdown);2025 Paris Fashion Week (Bool);2025 Ramazan (Bool);1404 Nowruz (Countdown);2025 New Year (Countdown);2024 United States presidential election (Countdown);24/25 UEFA Champions League (Bool);24/25 School Year (Bool);Weekday (Bool);Weekend (Bool)
2024-12-23;42;70;0;0;88;9;-48;0;1;1;0
2024-12-24;41;69;0;0;87;8;-49;0;1;1;0
2024-12-25;40;68;0;0;86;7;-50;0;1;1;0
2024-12-26;39;67;0;0;85;6;-51;0;1;1;0
2024-12-27;38;66;0;0;84;5;-52;0;1;1;0
2024-12-28;37;65;0;0;83;4;-53;0;1;0;1
2024-12-29;36;64;0;0;82;3;-54;0;1;0;1
2024-12-30;35;63;0;0;81;2;-55;0;1;1;0
2024-12-31;34;62;0;0;80;1;-56;0;1;1;0
2025-01-01;33;61;0;0;79;0;-57;0;1;1;0
2025-01-02;32;60;0;0;78;-1;-58;0;1;1;0
2025-01-03;31;59;0;0;77;-2;-59;0;1;1;0
2025-01-04;30;58;0;0;76;-3;-60;0;1;0;1
2025-01-05;29;57;0;0;75;-4;-61;0;1;0;1
2025-01-06;28;56;0;0;74;-5;-62;0;1;1;0
2025-01-07;27;55;0;0;73;-6;-63;0;1;1;0
2025-01-08;26;54;0;0;72;-7;-64;0;1;1;0
2025-01-09;25;53;0;0;71;-8;-65;0;1;1;0
2025-01-10;24;52;0;0;70;-9;-66;0;1;1;0
2025-01-11;23;51;0;0;69;-10;-67;0;1;0;1
2025-01-12;22;50;0;0;68;-11;-68;0;1;0;1
2025-01-13;21;49;0;0;67;-12;-69;0;1;1;0
2025-01-14;20;48;0;0;66;-13;-70;0;1;1;0
2025-01-15;19;47;0;0;65;-14;-71;0;1;1;0
2025-01-16;18;46;0;0;64;-15;-72;0;1;1;0
2025-01-17;17;45;0;0;63;-16;-73;0;1;1;0
2025-01-18;16;44;0;0;62;-17;-74;0;1;0;1
2025-01-19;15;43;0;0;61;-18;-75;0;1;0;1
2025-01-20;14;42;0;0;60;-19;-76;0;1;1;0
2025-01-21;13;41;0;0;59;-20;-77;1;1;1;0
2025-01-22;12;40;0;0;58;-21;-78;1;1;1;0
2025-01-23;11;39;0;0;57;-22;-79;0;1;1;0
2025-01-24;10;38;0;0;56;-23;-80;0;1;1;0
2025-01-25;9;37;0;0;55;-24;-81;0;1;0;1
2025-01-26;8;36;0;0;54;-25;-82;0;1;0;1
2025-01-27;7;35;0;0;53;-26;-83;0;1;1;0
2025-01-28;6;34;0;0;52;-27;-84;0;1;1;0
2025-01-29;5;33;0;0;51;-28;-85;1;1;1;0
2025-01-30;4;32;0;0;50;-29;-86;0;1;1;0
2025-01-31;3;31;0;0;49;-30;-87;0;1;1;0
2025-02-01;2;30;0;0;48;-31;-88;0;1;0;1
2025-02-02;1;29;0;0;47;-32;-89;0;1;0;1
2025-02-03;0;28;0;0;46;-33;-90;0;1;1;0
2025-02-04;-1;27;0;0;45;-34;-91;0;1;1;0
2025-02-05;-2;26;0;0;44;-35;-92;0;1;1;0
2025-02-06;-3;25;0;0;43;-36;-93;0;1;1;0
2025-02-07;-4;24;0;0;42;-37;-94;0;1;1;0
2025-02-08;-5;23;0;0;41;-38;-95;0;1;0;1
2025-02-09;-6;22;0;0;40;-39;-96;0;1;0;1
2025-02-10;-7;21;0;0;39;-40;-97;0;1;1;0
2025-02-11;-8;20;0;0;38;-41;-98;1;1;1;0
2025-02-12;-9;19;0;0;37;-42;-99;1;1;1;0
2025-02-13;-10;18;0;0;36;-43;-100;0;1;1;0
2025-02-14;-11;17;0;0;35;-44;-101;0;1;1;0
2025-02-15;-12;16;0;0;34;-45;-102;0;1;0;1
2025-02-16;-13;15;0;0;33;-46;-103;0;1;0;1
2025-02-17;-14;14;0;0;32;-47;-104;0;1;1;0
2025-02-18;-15;13;0;0;31;-48;-105;1;1;1;0
2025-02-19;-16;12;0;0;30;-49;-106;1;1;1;0
2025-02-20;-17;11;0;0;29;-50;-107;0;1;1;0
2025-02-21;-18;10;0;0;28;-51;-108;0;1;1;0
2025-02-22;-19;9;0;0;27;-52;-109;0;1;0;1
2025-02-23;-20;8;0;0;26;-53;-110;0;1;0;1
2025-02-24;-21;7;0;0;25;-54;-111;0;1;1;0
2025-02-25;-22;6;0;0;24;-55;-112;0;1;1;0
2025-02-26;-23;5;0;0;23;-56;-113;0;1;1;0
2025-02-27;-24;4;0;0;22;-57;-114;0;1;1;0
2025-02-28;-25;3;0;0;21;-58;-115;0;1;1;0
2025-03-01;-26;2;0;1;20;-59;-116;0;1;0;1
2025-03-02;-27;1;0;1;19;-60;-117;0;1;0;1
2025-03-03;-28;0;0;1;18;-61;-118;0;1;1;0
2025-03-04;-29;-1;0;1;17;-62;-119;1;1;1;0
2025-03-05;-30;-2;0;1;16;-63;-120;1;1;1;0
2025-03-06;-31;-3;0;1;15;-64;-121;0;1;1;0
2025-03-07;-32;-4;0;1;14;-65;-122;0;1;1;0
2025-03-08;-33;-5;0;1;13;-66;-123;0;1;0;1
2025-03-09;-34;-6;0;1;12;-67;-124;0;1;0;1
2025-03-10;-35;-7;0;1;11;-68;-125;0;1;1;0
